SS,,MSTF,
2.62908,105.8,2.29516,238.7785
2.63484,106.3278,2.30111,189.7507
2.64061,104.5278,2.30705,164.168
2.64636,108.2333,2.31299,158.3474
2.65212,106.5167,2.31893,142.6855
2.65787,106.1278,2.32486,118.1014
2.66362,107.0368,2.33079,101.5978
2.66937,107.3,2.33672,94.27603
2.67511,106.3474,2.34265,89.81252
2.68085,107.5474,2.34857,85.59653
2.68658,106.8421,2.35448,82.04968
2.69231,107.6158,2.3604,79.55756
2.69804,108.6684,2.36631,81.84924
2.70377,106.7158,2.37222,91.81651
2.70949,107.67,2.37813,98.14092
2.7152,108.3421,2.38403,92.48441
2.72092,107.8,2.38993,84.41539
2.72663,109.5,2.39582,81.12859
2.73234,108.321,2.40172,79.73685
2.73804,108.679,2.40761,79.02464
2.74375,107.1947,2.4135,81.90996
2.74944,107.2,2.41938,92.21009
2.75514,107.62,2.42526,109.9569
2.76083,109.4368,2.43114,119.4499
2.76652,108.5842,2.43701,117.702
2.7722,110.3421,2.44289,110.3528
2.77788,109.3158,2.44875,104.0449
2.78356,109.4947,2.45462,100.7204
2.78923,109.0631,2.46048,98.32288
2.79491,108.275,2.46634,98.08099
2.80057,107.615,2.4722,99.18762
2.80624,106.52,2.47805,100.5394
2.8119,107.265,2.4839,102.3561
2.81755,105.5,2.48974,103.7861
2.82321,105.83,2.49559,106.4165
2.82886,104.11,2.50143,118.1031
2.8345,104.985,2.50726,146.8597
2.84015,104.68,2.51309,175.4765
2.84579,105.5524,2.51892,169.3379
2.85142,104.945,2.52475,138.6898
2.85706,105.3368,2.53058,116.2679
2.86269,106.705,2.5364,104.3897
2.86831,106.98,2.54221,93.2554
2.87393,109.175,2.54803,81.04434
2.87955,112.765,2.55384,72.79314
2.88517,122.45,2.55965,68.2194
2.89078,192.015,2.56545,66.29787
2.89639,373.725,2.57125,65.18127
2.902,384.83,2.57705,64.35445
2.9076,266.265,2.58284,63.15886
2.9132,177.11,2.58863,62.2234
2.91879,148.72,2.59442,61.36159
2.92438,140.7714,2.60021,60.89573
2.92997,153.5238,2.60599,60.92439
2.93555,160.7714,2.61177,60.51969
2.94114,144.3143,2.61754,60.3633
2.94671,120.3429,2.62331,60.47828
2.95229,109.4143,2.62908,60.93626
2.95786,107.6476,2.63484,61.39389
2.96342,108.0381,2.64061,61.32382
2.96899,107.1381,2.64636,61.13027
2.97455,107.1857,2.65212,61.60435
2.9801,105.895,2.65787,62.74233
2.98565,106.7333,2.66362,64.26352
2.9912,107.7095,2.66937,66.27671
2.99675,106.2818,2.67511,68.68626
3.00229,102,2.68085,71.14192
20.63898,105.6525,2.68658,73.51722
20.68042,105.6049,2.69231,75.1488
20.72183,105.83,2.69804,76.03812
20.76322,107.4282,2.70377,76.50906
20.80459,108.535,2.70949,75.90794
20.84593,109.7675,2.7152,74.76549
20.88725,114.1342,2.72092,73.94827
20.92855,116.8375,2.72663,74.59153
20.96983,121.3425,2.73234,75.51442
21.01108,164.9325,2.73804,72.8819
21.05231,282.6049,2.74375,68.29633
21.09352,310.29,2.74944,64.63177
21.1347,238.8049,2.75514,62.53141
21.17586,170.3122,2.76083,60.78503
21.217,146.4976,2.76652,59.35053
21.25812,137.8756,2.7722,57.85734
21.29921,140.5854,2.77788,56.75599
21.34028,140.9878,2.78356,56.5045
21.38133,130.9805,2.78923,56.4614
21.42235,117.7453,2.79491,56.68632
21.46335,110.6619,2.80057,57.46015
21.50433,109.1476,2.80624,58.12952
21.54529,108.8214,2.8119,59.1362
21.58622,109.0357,2.81755,59.49867
21.62713,108.3309,2.82321,59.34518
21.66801,108.6452,2.82886,58.81962
21.70887,107.9767,2.8345,58.82669
21.74971,109.0262,2.84015,59.56728
21.79053,107.5302,2.84579,62.0128
21.83132,109.4643,2.85142,64.59962
21.87209,111.0691,2.85706,66.46151
21.91284,114.6857,2.86269,65.95557
21.95356,114.3071,2.86831,65.08984
21.99426,111.9024,2.87393,65.65661
22.03494,109.8119,2.87955,67.91259
22.07559,108.8791,2.88517,71.3078
22.11622,110.8907,2.89078,76.55781
22.15682,110.7419,2.89639,84.80949
22.19741,112.2023,2.902,95.87136
22.23797,110.9768,2.9076,108.2578
22.2785,110.9884,2.9132,121.8889
22.31901,110.4232,2.91879,145.8779
22.3595,111.075,2.92438,191.6864
22.39997,110.0356,2.92997,220.7329
22.44041,111.6068,2.93555,259.8636
22.48083,110.7311,2.94114,364.5862
22.52122,110.3591,2.94671,452.5198
22.56159,110.1932,2.95229,417.9087
22.60194,109.2372,2.95786,347.9688
22.64227,109.2023,2.96342,322.4017
22.68256,108.6704,2.96899,260.978
22.72284,109.225,2.97455,202.0532
22.76309,107.1311,2.9801,155.8891
22.80332,107.4045,2.98565,160.7009
22.84353,106.3909,2.9912,189.7836
22.88371,106.4182,2.99675,164.8935
22.92387,105.7568,3.00229,142.8137
22.964,105.2422,3.00783,145.8739
23.00411,105.18,3.01336,101.3907
23.0442,103.8267,3.0189,83.29665
23.08426,102.8261,3.02442,74.91011
23.1243,100.6111,3.02995,62.59395
23.16431,99.76,3.03547,60.14148
23.2043,98.47112,3.04099,57.39723
23.24427,98.16,3.0465,55.59119
23.28421,96.04893,3.05201,54.68715
23.32413,94.51521,3.05752,53.98622
23.36403,93.62825,3.06302,53.81656
23.4039,92.49999,3.06852,53.19357
23.44374,91.32667,3.07402,52.82671
23.48357,90.59334,3.07951,52.35001
23.52337,90.52221,3.085,52.21069
23.56314,89.13113,3.09048,52.22268
23.60289,89.96889,3.09596,52.98272
23.64262,90.08043,3.10144,54.45046
23.68232,90.8383,3.10691,58.37009
23.722,92.54129,3.11239,63.29658
23.76165,93.61915,3.11785,64.8828
23.80128,93.66809,3.12332,61.74388
23.84089,93.04348,3.12878,58.17987
23.88047,91.29563,3.13423,56.92014
23.92003,91.04679,3.13969,58.43685
