wavelength0,Abs0,wavelength1,Abs1,wavelength2,Abs2
574,0.173371613,574,0.09893021,574,0.0532615
573,0.173173979,573,0.099475428,573,0.053908121
572,0.173297733,572,0.099464685,572,0.054008331
571,0.173485354,571,0.099721015,571,0.053912777
570,0.173283264,570,0.100117378,570,0.05414135
569,0.173346922,569,0.100361504,569,0.054383624
568,0.173367024,568,0.100719936,568,0.054395095
567,0.173301011,567,0.100880988,567,0.055044521
566,0.17345795,566,0.101371184,566,0.054940309
565,0.173294187,565,0.101893909,565,0.055209249
564,0.173600614,564,0.101646565,564,0.055315349
563,0.173476502,563,0.102251738,563,0.055807084
562,0.173293024,562,0.102829814,562,0.056127433
561,0.173722893,561,0.10276185,561,0.056020457
560,0.173666939,560,0.103233494,560,0.056136563
559,0.173489124,559,0.10401208,559,0.056805771
558,0.173509479,558,0.104036778,558,0.056718364
557,0.173637524,557,0.104384199,557,0.057035308
556,0.173637644,556,0.104948014,556,0.057437602
555,0.173636049,555,0.105306886,555,0.05758258
554,0.173781097,554,0.10551282,554,0.05777669
553,0.173820883,553,0.105947807,553,0.058119472
552,0.173945159,552,0.106513225,552,0.058201157
551,0.173941568,551,0.106691629,551,0.058619641
550,0.173914209,550,0.107321248,550,0.058745068
549,0.1739797,549,0.107629582,549,0.059054717
548,0.173898831,548,0.107933693,548,0.059440393
547,0.174210563,547,0.10821157,547,0.059299957
546,0.174198777,546,0.108702801,546,0.059731115
545,0.17427665,545,0.109236032,545,0.060013205
544,0.174260676,544,0.109746851,544,0.060442396
543,0.174365699,543,0.110190772,543,0.060713336
542,0.174444333,542,0.110652484,542,0.060738552
541,0.174510911,541,0.111039706,541,0.061103974
540,0.174681991,540,0.111540705,540,0.061266724
539,0.17479977,539,0.111758828,539,0.061580565
538,0.174989328,538,0.112194121,538,0.061676208
537,0.174864665,537,0.113033816,537,0.062032893
536,0.174912795,536,0.113406323,536,0.062410258
535,0.175051719,535,0.113913566,535,0.062746786
534,0.175012291,534,0.114575751,534,0.063154407
533,0.175134465,533,0.114876501,533,0.063277021
532,0.175066903,532,0.115846813,532,0.06346821
531,0.175214246,531,0.116052836,531,0.063692607
