Angle1,Intensity1
35.02,657.3
35.04,694.5
35.06,702.3
35.08,676.1
35.1,706.6
35.12,713.9
35.14,743.7
35.16,806.5
35.18,895.7
35.2,955.8
35.22,997.8
35.24,1025.7
35.26,1044
35.28,937.1
35.3,869.5
35.32,834
35.34,808.8
35.36,770.7
35.38,690.4
35.4,634.5
35.42,645.7
35.44,610.6
35.46,613.5
35.48,623
35.5,620.8
35.52,588.1
35.54,619.8
35.56,651.4
35.58,669
35.6,690.3
35.62,746.3
35.64,773.9
35.66,806.3
35.68,932
35.7,1094.7
35.72,1235.3
35.74,1371.6
35.76,1531.6
35.78,1612.5
35.8,1624.5
35.82,1510.5
35.84,1247.9
35.86,1161.1
35.88,1070.9
35.9,980.8
35.92,891.7
35.94,796.5
35.96,689.6
35.98,640
36,643.3
36.02,606
36.04,624.1
36.06,622.5
36.08,601.4
