2theta (700C),intensity (700C)
3.42571,-1136.42813
3.43113,-1121.20037
3.43656,-1102.76558
3.44199,-1081.00038
3.44741,-1054.73381
3.45284,-1024.37181
3.45826,-989.85936
3.46369,-951.87114
3.46912,-909.72872
3.47454,-866.97615
3.47997,-822.32485
3.48539,-779.57906
3.49082,-738.52974
3.49625,-700.81966
3.50167,-668.90169
3.5071,-642.756
3.51252,-624.17507
3.51795,-611.17324
3.52338,-606.89449
3.5288,-608.45705
3.53423,-618.62923
3.53965,-636.53041
3.54508,-661.10024
3.55051,-693.33785
3.55593,-730.23867
3.56136,-772.36849
3.56678,-817.10158
3.57221,-862.7892
3.57764,-908.07643
3.58306,-951.05034
3.58849,-990.79711
3.59392,-1026.86238
3.59934,-1058.89537
3.60477,-1086.44937
3.61019,-1110.38561
3.61562,-1130.11676
3.62105,-1146.87072
3.62647,-1160.71115
3.6319,-1172.58974
3.63732,-1182.16889
3.64275,-1190.04576
3.64818,-1196.74753
3.6536,-1202.4957
3.65903,-1207.28572
3.66445,-1211.41153
3.66988,-1214.91388
3.67531,-1217.96357
3.68073,-1220.72174
3.68616,-1223.13018
3.69158,-1225.3508
3.69701,-1227.30181
3.70244,-1229.0261
3.70786,-1230.54795
3.71329,-1232.07914
3.71871,-1233.42089
3.72414,-1234.67408
3.72957,-1235.79001
3.73499,-1236.86483
3.74042,-1237.84968
3.74584,-1238.75532
3.75127,-1239.65856
3.7567,-1240.40089
3.76212,-1241.1352
3.76755,-1241.8704
3.77297,-1242.56906
3.7784,-1243.20071
3.78383,-1243.71464
3.78925,-1244.26435
3.79468,-1244.7893
3.8001,-1245.31473
3.80553,-1245.74945
3.81096,-1246.24656
3.81638,-1246.66045
3.82181,-1247.10555
3.82723,-1247.44185
3.83266,-1247.76206
3.83809,-1248.10929
3.84351,-1248.40297
3.84894,-1248.83041
3.85436,-1249.09896
3.85979,-1249.40526
3.86522,-1249.64599
3.87064,-1249.91055
3.87607,-1250.17647
3.88149,-1250.47769
3.88692,-1250.72428
3.89235,-1250.96379
3.89777,-1251.09529
3.9032,-1251.21723
3.90862,-1251.39968
3.91405,-1251.63954
3.91948,-1251.77333
3.9249,-1251.91606
3.93033,-1252.0571
3.93575,-1252.24234
3.94118,-1252.36463
3.94661,-1252.58145
3.95203,-1252.71466
3.95746,-1252.88073
3.96289,-1253.00132
3.96831,-1253.11478
3.97374,-1253.26525
3.97916,-1253.36594
3.98459,-1253.40628
3.99002,-1253.43571
3.99544,-1253.58604
4.00087,-1253.64858
4.00629,-1253.77349
4.01172,-1253.86419
4.01715,-1253.94696
4.02257,-1254.04454
4.028,-1254.13472
4.03342,-1254.23087
4.03885,-1254.30604
4.04428,-1254.31694
4.0497,-1254.32979
4.05513,-1254.38894
4.06055,-1254.59604
4.06598,-1254.62792
4.07141,-1254.67404
4.07683,-1254.62087
4.08226,-1254.61982
4.08768,-1254.69622
4.09311,-1254.77172
4.09854,-1254.84096
4.10396,-1254.81273
4.10939,-1254.92079
4.11481,-1254.97317
4.12024,-1255.03864
4.12567,-1255.04218
4.13109,-1255.10427
4.13652,-1255.11193
4.14194,-1255.10421
4.14737,-1255.09085
4.1528,-1255.09458
4.15822,-1255.13945
4.16365,-1255.14988
4.16907,-1255.14193
4.1745,-1255.11669
4.17993,-1255.14199
4.18535,-1255.08301
4.19078,-1255.0882
4.1962,-1255.07657
4.20163,-1255.07255
4.20706,-1255.05259
4.21248,-1255.01973
4.21791,-1254.95278
4.22333,-1254.92324
4.22876,-1254.83836
4.23419,-1254.91047
4.23961,-1254.89489
4.24504,-1254.78672
4.25046,-1254.63131
4.25589,-1254.57083
4.26132,-1254.5502
4.26674,-1254.43352
4.27217,-1254.40406
4.27759,-1254.40855
4.28302,-1254.45113
4.28845,-1254.34075
4.29387,-1254.29615
4.2993,-1254.26819
4.30472,-1254.27901
4.31015,-1254.1923
4.31558,-1254.05825
4.321,-1253.99182
4.32643,-1253.99967
4.33186,-1253.86994
4.33728,-1253.68585
4.34271,-1253.60445
4.34813,-1253.59259
4.35356,-1253.4915
4.35899,-1253.31778
4.36441,-1253.2866
4.36984,-1253.20911
4.37526,-1253.12072
4.38069,-1252.98864
4.38612,-1252.84771
4.39154,-1252.76731
4.39697,-1252.68967
4.40239,-1252.66384
4.40782,-1252.51401
4.41325,-1252.42919
4.41867,-1252.3501
4.4241,-1252.2855
4.42952,-1252.15334
4.43495,-1252.06184
4.44038,-1251.93649
4.4458,-1251.73613
4.45123,-1251.59523
4.45665,-1251.45263
4.46208,-1251.37285
4.46751,-1251.28482
4.47293,-1251.1844
4.47836,-1251.10466
4.48378,-1251.04773
4.48921,-1250.85815
4.49464,-1250.67935
4.50006,-1250.46263
4.50549,-1250.33444
4.51091,-1250.13859
4.51634,-1250.02625
4.52177,-1249.86154
4.52719,-1249.77706
4.53262,-1249.58964
4.53804,-1249.38467
4.54347,-1249.1389
4.5489,-1248.85662
4.55432,-1248.63702
4.55975,-1248.41501
4.56517,-1248.13478
4.5706,-1247.90683
4.57603,-1247.69063
4.58145,-1247.39286
4.58688,-1247.04301
4.5923,-1246.72792
4.59773,-1246.44317
4.60316,-1246.08864
4.60858,-1245.74428
4.61401,-1245.31607
4.61943,-1244.8859
4.62486,-1244.46482
4.63029,-1244.11419
4.63571,-1243.62252
4.64114,-1243.04335
4.64656,-1242.54334
4.65199,-1242.08556
4.65742,-1241.56678
4.66284,-1240.98318
4.66827,-1240.34543
4.67369,-1239.67443
4.67912,-1238.97434
4.68455,-1238.25922
4.68997,-1237.45853
4.6954,-1236.60591
4.70083,-1235.73927
4.70625,-1234.77779
4.71168,-1233.72827
4.7171,-1232.66611
4.72253,-1231.61662
4.72796,-1230.41981
4.73338,-1229.05495
4.73881,-1227.55521
4.74423,-1225.97611
4.74966,-1224.34064
4.75509,-1222.6218
4.76051,-1220.75512
4.76594,-1218.64922
4.77136,-1216.35673
4.77679,-1213.80073
4.78222,-1211.08786
4.78764,-1208.06958
4.79307,-1204.73748
4.79849,-1201.06247
4.80392,-1196.99738
4.80935,-1192.45122
4.81477,-1187.18203
4.8202,-1181.39563
4.82562,-1174.74717
4.83105,-1167.20192
4.83648,-1158.49634
4.8419,-1148.57585
4.84733,-1136.83048
4.85275,-1123.30391
4.85818,-1107.3405
4.86361,-1088.92362
4.86903,-1067.07155
4.87446,-1041.98638
4.87988,-1011.92638
4.88531,-977.15667
4.89074,-936.93611
4.89616,-890.9854
4.90159,-838.08031
4.90701,-779.37496
4.91244,-713.433
4.91787,-641.39345
4.92329,-565.10317
4.92872,-484.38405
4.93414,-402.67549
4.93957,-320.90456
4.945,-241.76308
4.95042,-167.97756
4.95585,-102.02309
4.96127,-44.66115
4.9667,1.79686
4.97213,35.17515
4.97755,57.96592
4.98298,64.61717
4.9884,60.93089
4.99383,41.5858
4.99926,10.68919
5.00468,-33.74269
5.01011,-88.67214
5.01553,-154.44313
5.02096,-227.99526
5.02639,-306.47341
5.03181,-388.89443
5.03724,-470.82399
5.04267,-552.41591
5.04809,-629.85341
5.05352,-702.23311
5.05894,-769.1202
5.06437,-829.14534
5.0698,-882.68309
5.07522,-930.0732
5.08065,-971.26488
5.08607,-1006.73986
5.0915,-1037.46953
5.09693,-1063.69908
5.10235,-1086.08303
5.10778,-1105.15119
5.1132,-1121.45198
