theta (500C),intensity (500C)
3.31719,-1429.66105
3.32261,-1430.62432
3.32804,-1431.13361
3.33347,-1431.10333
3.33889,-1430.82822
3.34432,-1430.07281
3.34974,-1428.95531
3.35517,-1427.28263
3.3606,-1425.28695
3.36602,-1422.53948
3.37145,-1419.36134
3.37687,-1415.40276
3.3823,-1410.81847
3.38773,-1405.38427
3.39315,-1399.6303
3.39858,-1392.8065
3.404,-1385.13142
3.40943,-1376.46427
3.41486,-1367.02529
3.42028,-1356.36993
3.42571,-1344.71294
3.43113,-1332.22369
3.43656,-1318.78704
3.44199,-1304.50268
3.44741,-1288.73067
3.45284,-1272.36364
3.45826,-1255.68948
3.46369,-1238.81835
3.46912,-1221.90725
3.47454,-1205.40569
3.47997,-1189.3991
3.48539,-1174.34863
3.49082,-1160.63735
3.49625,-1148.19512
3.50167,-1138.0685
3.5071,-1130.11852
3.51252,-1124.87338
3.51795,-1122.02581
3.52338,-1122.08529
3.5288,-1124.42715
3.53423,-1129.68798
3.53965,-1137.52245
3.54508,-1147.58562
3.55051,-1160.14709
3.55593,-1174.19772
3.56136,-1190.01391
3.56678,-1206.71087
3.57221,-1224.46136
3.57764,-1242.30651
3.58306,-1260.50536
3.58849,-1278.22872
3.59392,-1295.84582
3.59934,-1312.76501
3.60477,-1328.99184
3.61019,-1344.45559
3.61562,-1358.7665
3.62105,-1372.13213
3.62647,-1384.33463
3.6319,-1395.8895
3.63732,-1406.15557
3.64275,-1415.47157
3.64818,-1423.95307
3.6536,-1431.894
3.65903,-1439.04446
3.66445,-1445.63291
3.66988,-1451.6175
3.67531,-1457.07082
3.68073,-1462.06176
3.68616,-1466.49177
3.69158,-1470.6681
3.69701,-1474.52096
3.70244,-1478.12333
3.70786,-1481.30157
3.71329,-1484.32688
3.71871,-1487.06269
3.72414,-1489.60252
3.72957,-1491.95033
3.73499,-1494.14359
3.74042,-1496.1483
3.74584,-1497.99587
3.75127,-1499.75387
3.7567,-1501.30744
3.76212,-1502.83596
3.76755,-1504.27078
3.77297,-1505.72236
3.7784,-1507.01436
3.78383,-1508.19878
3.78925,-1509.29391
3.79468,-1510.36069
3.8001,-1511.241
3.80553,-1512.17719
3.81096,-1513.02998
3.81638,-1513.8399
3.82181,-1514.55219
3.82723,-1515.22118
3.83266,-1515.85287
3.83809,-1516.56442
3.84351,-1517.17363
3.84894,-1517.7211
3.85436,-1518.16901
3.85979,-1518.67719
3.86522,-1519.21136
3.87064,-1519.68024
3.87607,-1520.07529
3.88149,-1520.38062
3.88692,-1520.78495
3.89235,-1521.07891
3.89777,-1521.42787
3.9032,-1521.74692
3.90862,-1522.10841
3.91405,-1522.52772
3.91948,-1522.83888
3.9249,-1523.03566
3.93033,-1523.29462
3.93575,-1523.61929
3.94118,-1524.01681
3.94661,-1524.24038
3.95203,-1524.35739
3.95746,-1524.5151
3.96289,-1524.8166
3.96831,-1525.07597
3.97374,-1525.25433
3.97916,-1525.38188
3.98459,-1525.54933
3.99002,-1525.73817
3.99544,-1526.00986
4.00087,-1526.24105
4.00629,-1526.42708
4.01172,-1526.46864
4.01715,-1526.46744
4.02257,-1526.50142
4.028,-1526.72356
4.03342,-1526.93662
4.03885,-1527.10399
4.04428,-1527.20615
4.0497,-1527.28864
4.05513,-1527.42678
4.06055,-1527.56453
4.06598,-1527.65756
4.07141,-1527.81943
4.07683,-1527.8307
4.08226,-1527.84479
4.08768,-1527.92184
4.09311,-1527.9848
4.09854,-1528.09071
4.10396,-1528.17565
4.10939,-1528.30337
4.11481,-1528.33338
4.12024,-1528.27795
4.12567,-1528.30779
4.13109,-1528.39659
4.13652,-1528.48587
4.14194,-1528.5548
4.14737,-1528.49129
4.1528,-1528.39111
4.15822,-1528.3783
4.16365,-1528.47963
4.16907,-1528.56437
4.1745,-1528.53246
4.17993,-1528.49197
4.18535,-1528.42482
4.19078,-1528.37493
4.1962,-1528.37732
4.20163,-1528.42483
4.20706,-1528.51806
4.21248,-1528.58974
4.21791,-1528.48074
4.22333,-1528.41876
4.22876,-1528.25953
4.23419,-1528.17841
4.23961,-1528.04479
4.24504,-1527.92367
4.25046,-1527.92865
4.25589,-1527.95375
4.26132,-1527.91502
4.26674,-1527.80866
4.27217,-1527.69011
4.27759,-1527.54597
4.28302,-1527.507
4.28845,-1527.43422
4.29387,-1527.33361
4.2993,-1527.27411
4.30472,-1527.15861
4.31015,-1527.03775
4.31558,-1526.975
4.321,-1526.92999
4.32643,-1526.85538
4.33186,-1526.74185
4.33728,-1526.64523
4.34271,-1526.49998
4.34813,-1526.33403
4.35356,-1526.18289
4.35899,-1526.04477
4.36441,-1525.96095
4.36984,-1525.78992
4.37526,-1525.68839
4.38069,-1525.43104
4.38612,-1525.291
4.39154,-1525.15044
4.39697,-1525.12752
4.40239,-1525.0415
4.40782,-1524.89628
4.41325,-1524.73204
4.41867,-1524.49061
4.4241,-1524.28117
4.42952,-1524.05727
4.43495,-1523.92485
4.44038,-1523.76363
4.4458,-1523.47187
4.45123,-1523.2403
4.45665,-1522.99419
4.46208,-1522.7896
4.46751,-1522.48748
4.47293,-1522.21503
4.47836,-1521.93498
4.48378,-1521.72988
4.48921,-1521.49371
4.49464,-1521.22931
4.50006,-1520.8032
4.50549,-1520.4704
4.51091,-1520.19518
4.51634,-1519.92564
4.52177,-1519.51375
4.52719,-1519.13213
4.53262,-1518.69069
4.53804,-1518.33365
4.54347,-1517.96912
4.5489,-1517.51086
4.55432,-1517.02413
4.55975,-1516.68453
4.56517,-1516.28565
4.5706,-1515.82696
4.57603,-1515.3702
4.58145,-1514.8839
4.58688,-1514.32218
4.5923,-1513.68407
4.59773,-1513.1395
4.60316,-1512.63293
4.60858,-1512.02734
4.61401,-1511.31353
4.61943,-1510.6435
4.62486,-1509.91807
4.63029,-1509.13139
4.63571,-1508.27619
4.64114,-1507.30791
4.64656,-1506.34397
4.65199,-1505.32751
4.65742,-1504.35558
4.66284,-1503.29949
4.66827,-1502.14066
4.67369,-1500.82014
4.67912,-1499.43363
4.68455,-1498.01913
4.68997,-1496.40537
4.6954,-1494.60815
4.70083,-1492.67204
4.70625,-1490.67767
4.71168,-1488.57929
4.7171,-1486.18652
4.72253,-1483.56236
4.72796,-1480.77828
4.73338,-1477.75912
4.73881,-1474.55131
4.74423,-1470.91972
4.74966,-1467.04728
4.75509,-1462.7591
4.76051,-1458.13929
4.76594,-1452.98989
4.77136,-1447.45579
4.77679,-1441.35574
4.78222,-1434.74175
4.78764,-1427.43563
4.79307,-1419.51893
4.79849,-1410.88023
4.80392,-1401.5557
4.80935,-1391.43555
4.81477,-1380.21986
4.8202,-1368.07821
4.82562,-1354.82293
4.83105,-1340.55224
4.83648,-1325.06045
4.8419,-1308.37908
4.84733,-1290.24755
4.85275,-1270.90347
4.85818,-1250.03085
4.86361,-1227.95846
4.86903,-1204.36034
4.87446,-1179.59017
4.87988,-1153.19216
4.88531,-1125.53109
4.89074,-1096.91509
4.89616,-1067.44219
4.90159,-1037.34716
4.90701,-1006.71026
4.91244,-975.77673
4.91787,-944.92889
4.92329,-914.86675
4.92872,-885.60815
4.93414,-857.95031
4.93957,-831.82793
4.945,-807.74712
4.95042,-786.63146
4.95585,-768.19024
4.96127,-752.92889
4.9667,-741.05352
4.97213,-733.393
4.97755,-729.18591
4.98298,-729.56585
4.9884,-733.35693
4.99383,-741.3941
4.99926,-752.85571
5.00468,-768.11211
5.01011,-786.45922
5.01553,-808.22906
5.02096,-832.54632
5.02639,-858.89208
5.03181,-887.07061
5.03724,-916.28307
5.04267,-946.75713
5.04809,-977.54455
5.05352,-1008.55248
5.05894,-1039.31792
5.06437,-1069.79974
5.0698,-1099.32323
5.07522,-1128.12255
5.08065,-1155.69772
5.08607,-1182.04345
5.0915,-1207.03744
5.09693,-1230.6979
5.10235,-1252.72131
5.10778,-1273.3644
5.1132,-1292.64611
5.11863,-1310.57006
5.12406,-1327.20351
5.12948,-1342.46203
5.13491,-1356.43636
5.14033,-1369.21789
5.14576,-1381.08141
5.15119,-1391.84977
5.15661,-1401.74679
5.16204,-1410.84373
5.16746,-1419.1614
5.17289,-1426.74096
5.17832,-1433.72048
5.18374,-1440.11105
5.18917,-1445.93809
5.19459,-1451.26264
5.20002,-1456.15313
5.20545,-1460.66836
5.21087,-1464.85128
5.2163,-1468.68382
5.22172,-1472.0666
5.22715,-1475.19382
5.23258,-1478.02551
5.238,-1480.75573
5.24343,-1483.23403
5.24885,-1485.45435
5.25428,-1487.42428
5.25971,-1489.3256
5.26513,-1491.09045
5.27056,-1492.77327
5.27598,-1494.30069
5.28141,-1495.62856
5.28684,-1496.74895
5.29226,-1497.8633
5.29769,-1498.95493
5.30311,-1499.85883
5.30854,-1500.65774
5.31397,-1501.50035
5.31939,-1502.21959
5.32482,-1502.84119
5.33024,-1503.40508
5.33567,-1503.9908
5.3411,-1504.55125
5.34652,-1504.92403
5.35195,-1505.26134
5.35737,-1505.56422
5.3628,-1505.8639
5.36823,-1506.15068
5.37365,-1506.39597
5.37908,-1506.55267
5.3845,-1506.70094
5.38993,-1506.8739
5.39536,-1507.00838
5.40078,-1507.11893
5.40621,-1507.11787
5.41164,-1507.03638
5.41706,-1506.94581
5.42249,-1506.89545
5.42791,-1506.81397
5.43334,-1506.6536
5.43877,-1506.52605
5.44419,-1506.30285
5.44962,-1506.08102
5.45504,-1505.89267
5.46047,-1505.62402
5.4659,-1505.29904
5.47132,-1504.90075
5.47675,-1504.3857
5.48217,-1503.91805
5.4876,-1503.48225
5.49303,-1502.94772
5.49845,-1502.28009
5.50388,-1501.58605
5.5093,-1500.91363
5.51473,-1500.18553
5.52016,-1499.33048
5.52558,-1498.47565
5.53101,-1497.56557
5.53643,-1496.47636
5.54186,-1495.2446
5.54729,-1493.89322
5.55271,-1492.52548
5.55814,-1491.11562
5.56356,-1489.57035
5.56899,-1487.8057
5.57442,-1485.88218
5.57984,-1483.7925
5.58527,-1481.60534
5.59069,-1479.23147
5.59612,-1476.61561
5.60155,-1473.70232
5.60697,-1470.57296
5.6124,-1467.17449
5.61782,-1463.46647
5.62325,-1459.3995
5.62868,-1454.94669
5.6341,-1450.11547
5.63953,-1444.81139
5.64495,-1439.08086
5.65038,-1432.784
5.65581,-1425.90302
5.66123,-1418.47689
5.66666,-1410.28805
5.67208,-1401.37321
5.67751,-1391.58985
5.68294,-1381.11341
5.68836,-1369.73704
5.69379,-1357.55819
5.69921,-1344.24096
5.70464,-1329.92532
5.71007,-1314.46905
5.71549,-1298.02496
5.72092,-1280.34136
5.72634,-1261.78475
5.73177,-1242.07186
5.7372,-1221.37811
5.74262,-1199.78115
5.74805,-1177.22768
5.75347,-1154.06402
5.7589,-1130.28146
5.76433,-1106.15966
5.76975,-1081.82964
5.77518,-1057.72283
5.78061,-1033.87426
5.78603,-1010.60955
5.79146,-988.18102
5.79688,-966.78143
5.80231,-947.2
5.80774,-929.61395
5.81316,-914.03197
5.81859,-900.99615
5.82401,-890.56432
5.82944,-882.59527
5.83487,-877.72259
5.84029,-875.61987
5.84572,-876.64416
5.85114,-880.4063
5.85657,-887.52361
5.862,-896.96111
5.86742,-909.52288
5.87285,-924.03576
5.87827,-940.69024
5.8837,-959.11877
5.88913,-979.21343
5.89455,-1000.45971
5.89998,-1022.55193
5.9054,-1045.20873
5.91083,-1067.93707
5.91626,-1090.94225
5.92168,-1113.5555
5.92711,-1135.74599
5.93253,-1157.29623
5.93796,-1178.02981
5.94339,-1197.66592
5.94881,-1216.32107
5.95424,-1233.78494
5.95966,-1249.93563
5.96509,-1265.05151
5.97052,-1278.7871
5.97594,-1291.30602
5.98137,-1302.60976
5.98679,-1312.80975
5.99222,-1321.75057
5.99765,-1329.77734
6.00307,-1336.6769
6.0085,-1342.64941
6.01392,-1347.70431
6.01935,-1351.93328
6.02478,-1355.38769
6.0302,-1358.30035
6.03563,-1360.61211
6.04105,-1362.59353
6.04648,-1364.30952
6.05191,-1365.69444
6.05733,-1366.85561
6.06276,-1367.89597
6.06818,-1368.86103
6.07361,-1369.86466
6.07904,-1371.00927
6.08446,-1372.34086
6.08989,-1373.91706
6.09531,-1375.72309
6.10074,-1377.82206
6.10617,-1380.2474
6.11159,-1382.96563
