Angle,Intensity
13.12,1627.7
13.14,1699.4
13.16,1739.8
13.18,1755.3
13.2,1826.1
13.22,1901
13.24,1997.4
13.26,2115.6
13.28,2251.1
13.3,2471.3
13.32,2723.6
13.34,3008.7
13.36,3328.3
13.38,3546.1
13.4,3978.4
13.42,4554.3
13.44,5198
13.46,5674.7
13.48,5821.8
13.5,5533.4
13.52,4806.7
13.54,3904.2
13.56,3022.9
13.58,2388.8
13.6,2030.8
13.62,1838.1
13.64,1721.2
13.66,1681.9
13.68,1654.6
13.7,1511.4
13.72,1513
13.74,1502.7
13.76,1499.7
13.78,1540.1
13.8,1590.4
13.82,1628.6
13.84,1678.8
13.86,1761.6
13.88,1898.7
13.9,1912.4
13.92,1789.9
13.94,1553.5
13.96,1379.9
13.98,1309.3
14,1271.2
14.02,1238.1
14.04,1190.2
14.06,1154.1
14.08,1202.4
14.1,1281.1
14.12,1252.9
14.14,1229.7
14.16,1182.8
14.18,1170.1
14.2,1268.4
14.22,1186.5
14.24,1178.1
14.26,1197.5
14.28,1204.2
14.3,1208.8
14.32,1210.6
14.34,1195.3
14.36,1165.5
14.38,1187.6
14.4,1228.7
14.42,1248.3
14.44,1242.8
14.46,1247.4
14.48,1338.7
14.5,1370.9
14.52,1378.9
14.54,1500.7
14.56,1519.9
14.58,1586.8
14.6,1681.7
14.62,1757.9
14.64,1841.5
14.66,1814.8
14.68,1717.3
14.7,1590.3
14.72,1466.2
14.74,1350.4
14.76,1257.5
14.78,1195.5
14.8,1162.8
14.82,1183.8
14.84,1187.4
14.86,1165.2
14.88,1184.2
14.9,1140.8
14.92,1125.9
14.94,1134.1
14.96,1108.2
14.98,1147.1
15,1197.1
15.02,1233.7
15.04,1229.1
15.06,1278.1
15.08,1353.6
15.1,1454
15.12,1576.1
15.14,1684.2
15.16,1814.4
15.18,1992.5
15.2,2243.9
15.22,2649.9
15.24,3013.3
15.26,3203
15.28,3107.9
15.3,2466.6
15.32,1942
15.34,1524.7
15.36,1226.3
15.38,1082.4
15.4,999.9
15.42,993
15.44,1008.3
15.46,959.6
15.48,997.1
15.5,989.5
15.52,960.4
15.54,940.5
15.56,993.9
15.58,968.6
15.6,930.7
15.62,922.4
15.64,937.6
15.66,919.1
15.68,915.3
15.7,935.8
15.72,934.2
15.74,936.6
15.76,941.6
15.78,939.1
15.8,901.8
15.82,915.8
15.84,917.3
15.86,914.8
15.88,936.1
15.9,912.9
15.92,920.3
15.94,937
15.96,936.6
15.98,916.8
16,899.7
16.02,910.7
16.04,954.8
16.06,903
16.08,900.9
16.1,929.9
16.12,964.4
16.14,917.9
16.16,893.6
16.18,875
16.2,860.2
16.22,856.4
16.24,887.2
16.26,915.2
16.28,932.2
16.3,933
16.32,929.4
16.34,891.1
16.36,867.1
16.38,913
16.4,916.1
16.42,939.9
16.44,930.3
16.46,858.4
16.48,850.8
16.5,880.3
16.52,887.3
16.54,858.3
16.56,868.2
16.58,852.5
16.6,858.2
16.62,891.7
16.64,931.3
16.66,887
16.68,839.6
16.7,814.3
16.72,834.8
16.74,845.3
16.76,856.7
16.78,859.2
16.8,841.1
16.82,874.6
16.84,856.1
16.86,821.1
16.88,799.8
16.9,812
16.92,796.1
16.94,781
16.96,789.3
16.98,871.6
17,846.8
17.02,814
17.04,806.8
17.06,838
17.08,859.3
17.1,862.5
17.12,850.1
17.14,830.3
17.16,856.8
17.18,875.6
17.2,885.9
17.22,892
17.24,859.4
17.26,880.2
17.28,917.2
17.3,939.1
17.32,958.1
17.34,1038.3
17.36,1118.3
17.38,1162.8
17.4,1152.1
17.42,1103.5
17.44,1020.9
17.46,925.1
17.48,886.2
17.5,908
17.52,957.3
17.54,1016.9
17.56,1062.6
17.58,1058.9
17.6,1049.9
17.62,1056.7
17.64,1102.4
17.66,1066.9
17.68,1027.3
17.7,974.6
17.72,905.1
17.74,907.4
17.76,872.8
17.78,840.8
17.8,830.8
17.82,819.3
17.84,817
17.86,802.7
17.88,781.5
17.9,802
17.92,840.9
17.94,861.7
17.96,852.9
17.98,805
18,796.1
18.02,800.4
18.04,813.1
18.06,830.6
18.08,813.1
18.1,816.6
18.12,825.7
18.14,826.2
18.16,855.9
18.18,879.5
18.2,879.4
18.22,852.7
18.24,859.5
18.26,857.4
18.28,867.3
18.3,884.7
18.32,858.1
18.34,845
18.36,823.7
18.38,801.7
18.4,809.3
18.42,801.7
18.44,783.5
18.46,760.2
18.48,739.6
18.5,758.9
18.52,780.5
18.54,801.3
18.56,817.8
18.58,777.4
18.6,758.9
18.62,761.6
18.64,781.6
18.66,787.7
18.68,769.4
18.7,754.9
18.72,754.6
18.74,765.3
18.76,761.9
18.78,775.8
18.8,793
18.82,755.7
18.84,759.5
18.86,778.2
18.88,795.3
18.9,789.2
18.92,719.4
18.94,731.5
18.96,765.4
18.98,752.8
19,787.8
19.02,802.9
19.04,802.2
19.06,792.2
19.08,806.7
19.1,838.7
19.12,841.9
19.14,816.3
19.16,859.7
19.18,913.8
19.2,939
19.22,937.7
19.24,946.1
19.26,1013.6
19.28,1059.6
19.3,1101.5
19.32,1189.8
19.34,1266.6
19.36,1274
19.38,1249.3
19.4,1238.6
19.42,1284.3
19.44,1331.6
19.46,1383.4
19.48,1451
19.5,1637.5
19.52,1933.8
19.54,2260.9
19.56,2630.9
19.58,3301.1
19.6,3980.1
19.62,4597.3
19.64,4911.5
19.66,4237.5
19.68,3327.3
19.7,2524.1
19.72,1848.7
19.74,1241.7
19.76,992.9
19.78,900.8
19.8,893.2
19.82,896.8
19.84,851.8
19.86,778.9
19.88,754.6
19.9,822.8
19.92,789.3
19.94,807.4
19.96,802.5
19.98,753.7
20,751.4
20.02,770.2
20.04,779.3
20.06,770.6
20.08,746.9
20.1,782
20.12,787.7
20.14,769.2
20.16,766.2
20.18,756
20.2,755.3
20.22,742.9
20.24,691.2
20.26,765.4
20.28,782.7
20.3,788.9
20.32,815
20.34,745.7
20.36,766.6
20.38,784.2
20.4,760.8
20.42,767.7
20.44,778.8
20.46,786.1
20.48,779.2
20.5,730.5
20.52,721.4
20.54,730.5
20.56,749.9
20.58,770.5
20.6,779.1
20.62,764.7
20.64,759.5
20.66,807.4
20.68,756.8
20.7,744.1
20.72,739.2
20.74,718.5
20.76,768.7
20.78,756.8
20.8,738.6
20.82,744.1
20.84,763.1
20.86,782.8
20.88,779.7
20.9,758.8
20.92,769.5
20.94,748.1
20.96,744.3
20.98,767.7
21,817.9
21.02,854.9
21.04,866.2
21.06,840.2
21.08,762.5
21.1,806.5
21.12,811.3
21.14,791
21.16,763.5
21.18,750.5
21.2,779.2
21.22,791.1
21.24,759
21.26,739.2
21.28,731.4
21.3,755.5
21.32,801.4
21.34,797.6
21.36,806.1
21.38,844.1
21.4,899.7
21.42,933.9
21.44,900.2
21.46,881.7
21.48,867.5
21.5,827.1
21.52,810.5
21.54,805
21.56,796.1
21.58,771
21.6,771
21.62,768.8
21.64,780
21.66,807.1
21.68,787.3
21.7,816.9
21.72,835.7
21.74,818.1
21.76,754.2
21.78,777.3
21.8,776.3
21.82,756.8
21.84,802.5
21.86,811.8
21.88,792.9
21.9,772.5
21.92,792.3
21.94,803.3
21.96,794.1
21.98,802.1
22,862.9
22.02,859.9
22.04,908.3
22.06,963.6
22.08,1004.6
22.1,1118.1
22.12,1189.3
22.14,1319.9
22.16,1538.8
22.18,1777.2
22.2,2172.8
22.22,2612.4
22.24,3102.8
22.26,3744.8
22.28,4763.3
22.3,5921.1
22.32,6947.9
22.34,7429.2
22.36,6357.5
22.38,5060
22.4,3793.6
22.42,2764.6
22.44,1780.7
22.46,1235.4
22.48,1004.4
22.5,966.9
22.52,835.2
22.54,808.7
22.56,816.5
22.58,828.1
22.6,851
22.62,814.2
22.64,795.1
22.66,802.8
22.68,802.1
22.7,789.2
22.72,800.9
22.74,813.7
22.76,774.1
22.78,783.5
22.8,796.7
22.82,806.7
22.84,809
22.86,813.6
22.88,837.7
22.9,860.9
22.92,873.2
22.94,949.3
22.96,983.5
22.98,1000.7
23,1014.6
23.02,1034.4
23.04,1053.5
23.06,1067.6
23.08,1094.5
23.1,1197.3
23.12,1236.7
23.14,1293.8
23.16,1399.6
23.18,1589.2
23.2,1716.7
23.22,1878.1
23.24,2015.9
23.26,2051
23.28,1981.8
23.3,1795.5
23.32,1595
23.34,1459
23.36,1291.5
23.38,1168.3
23.4,1051.2
23.42,936.8
23.44,926.9
23.46,948.4
23.48,931.4
23.5,868.4
23.52,809.7
23.54,853.6
23.56,901.1
23.58,930
23.6,930
23.62,1044.7
23.64,1137.1
23.66,1226.6
23.68,1353.8
23.7,1398
23.72,1441.9
23.74,1455
23.76,1409
23.78,1271.9
23.8,1141
23.82,1017.1
23.84,905.3
23.86,836.8
23.88,802.9
23.9,790.4
23.92,788.9
23.94,776.7
23.96,759.3
23.98,776.8
24,799.6
24.02,742.5
24.04,776.6
24.06,794.4
24.08,791.1
24.1,774.3
24.12,697.7
24.14,741.3
24.16,787.7
24.18,732.2
24.2,713.9
24.22,723.4
24.24,750.5
24.26,782.8
24.28,771.4
24.3,732.9
24.32,730.8
24.34,765.6
24.36,745.1
24.38,770.5
24.4,803.6
24.42,828.3
24.44,825.3
24.46,830.6
24.48,839.8
24.5,846.5
24.52,841.1
24.54,856.6
24.56,861.5
24.58,871.1
24.6,898.1
24.62,871.4
24.64,871.7
24.66,859.3
24.68,816.3
24.7,798.8
24.72,780.1
24.74,768.6
24.76,762.7
24.78,741.3
24.8,740.6
24.82,779.1
24.84,847.6
24.86,910
24.88,885
24.9,896.7
24.92,915.5
24.94,870.6
24.96,847
24.98,826.1
25,798.3
25.02,756.5
25.04,776.3
25.06,777.7
25.08,783.7
25.1,808.2
25.12,834.1
25.14,865.9
25.16,873.8
25.18,861.6
25.2,906.6
25.22,939.4
25.24,1022.3
25.26,1135.8
25.28,1183.1
25.3,1224.8
25.32,1238.9
25.34,1212.8
25.36,1130.6
25.38,1070.9
25.4,1027.5
25.42,1029.4
25.44,1105.4
25.46,1126.7
25.48,1224.2
25.5,1382
25.52,1591
25.54,1885
25.56,2252.4
25.58,2705.4
25.6,3260.9
25.62,3978.3
25.64,5007.8
25.66,6285.9
25.68,7628.8
25.7,8537.4
25.72,8127.2
25.74,7093.2
25.76,5779.4
25.78,4631.7
25.8,3336
25.82,2306.3
25.84,1608.8
25.86,1280.8
25.88,1150.6
25.9,1044.2
25.92,969.3
25.94,932
25.96,945.7
25.98,924.8
26,902.9
26.02,903
26.04,963.9
26.06,978.7
26.08,986.4
26.1,1017.6
26.12,1135.7
26.14,1241
26.16,1405.8
26.18,1611.9
26.2,1801.5
26.22,2092.8
26.24,2311.4
26.26,2558.9
26.28,2973.3
26.3,3539.9
26.32,4114.4
26.34,4540.2
26.36,4662
26.38,4026
26.4,3396.9
26.42,2808.6
26.44,2265.6
26.46,1689.8
26.48,1236.7
26.5,989
26.52,924.8
26.54,879.8
26.56,825
26.58,808.5
26.6,801.2
26.62,724.3
26.64,766.5
26.66,780.4
26.68,761.2
26.7,719.3
26.72,818
26.74,798.8
26.76,748.5
26.78,741.6
26.8,733.2
26.82,751.8
26.84,767.7
26.86,768.6
26.88,782.3
26.9,791.1
26.92,818
26.94,848.1
26.96,797.1
26.98,832.7
27,825.3
27.02,805.2
27.04,895
27.06,905.5
27.08,924.2
27.1,962.1
27.12,1023
27.14,1113.1
27.16,1165.5
27.18,1175.6
27.2,1142.3
