shift1,intensity1,shift2,intensity2,shift3,intensity3
-409.406,0.277296,-409.406,0.305505,-409.406,-1.03135
-408.996,0.17166,-408.996,0.399495,-408.996,-1.14108
-408.586,0.10952,-408.586,0.382661,-408.586,-1.21859
-408.176,0.0797819,-408.176,0.187649,-408.176,-1.05937
-407.766,0.165563,-407.766,0.0154305,-407.766,-0.662046
-407.356,0.3472,-407.356,-0.00112698,-407.356,-0.171472
-406.946,0.496768,-406.946,0.0746552,-406.946,-0.0133864
-406.537,0.504344,-406.537,0.124644,-406.537,-0.195821
-406.127,0.31904,-406.127,0.16277,-406.127,-0.278614
-405.717,0.147476,-405.717,0.215409,-405.717,-0.202428
-405.307,0.137306,-405.307,0.169441,-405.307,-0.182724
-404.897,0.287937,-404.897,-0.0132717,-404.897,-0.169554
-404.487,0.485875,-404.487,-0.247643,-404.487,-0.0952336
-404.077,0.542858,-404.077,-0.36863,-404.077,-0.0280111
-403.668,0.270958,-403.668,-0.323326,-403.668,0.0549655
-403.258,-0.0915824,-403.258,-0.141738,-403.258,0.00495721
-402.848,-0.290711,-402.848,0.0694611,-402.848,-0.100353
-402.438,-0.341465,-402.438,0.221298,-402.438,-0.118178
-402.028,-0.31118,-402.028,0.327147,-402.028,0.0189869
-401.618,-0.285108,-401.618,0.331038,-401.618,0.256084
-401.208,-0.227425,-401.208,0.175134,-401.208,0.439219
-400.799,-0.0695834,-400.799,-0.0791885,-400.799,0.644052
-400.389,0.242989,-400.389,-0.129248,-400.389,0.838422
-399.979,0.648314,-399.979,0.0956534,-399.979,0.79869
-399.569,0.911035,-399.569,0.284866,-399.569,0.453828
-399.159,0.807181,-399.159,0.397589,-399.159,0.163032
-398.749,0.550361,-398.749,0.503555,-398.749,0.145317
-398.339,0.454092,-398.339,0.595635,-398.339,0.28938
-397.929,0.539936,-397.929,0.663109,-397.929,0.3748
-397.52,0.653042,-397.52,0.594616,-397.52,0.255252
-397.11,0.653197,-397.11,0.415068,-397.11,0.245264
-396.7,0.492217,-396.7,0.283467,-396.7,0.486055
-396.29,0.225086,-396.29,0.285076,-396.29,0.7544
-395.88,0.0297927,-395.88,0.279956,-395.88,0.978588
-395.47,-0.081503,-395.47,0.193947,-395.47,1.03764
-395.06,-0.132522,-395.06,0.0833027,-395.06,0.820562
-394.651,-0.164128,-394.651,-0.0670408,-394.651,0.450384
-394.241,-0.17193,-394.241,-0.15065,-394.241,0.0953609
-393.831,-0.113889,-393.831,-0.0391849,-393.831,-0.197155
-393.421,0.019233,-393.421,0.112227,-393.421,-0.488586
-393.011,0.22076,-393.011,0.207431,-393.011,-0.776632
-392.601,0.321962,-392.601,0.314421,-392.601,-0.83519
-392.191,0.282348,-392.191,0.54189,-392.191,-0.589097
-391.782,0.158114,-391.782,0.812665,-391.782,-0.399018
-391.372,0.0910833,-391.372,1.03448,-391.372,-0.40303
-390.962,0.0787838,-390.962,1.27054,-390.962,-0.294671
-390.552,0.0894132,-390.552,1.47395,-390.552,-0.0458588
-390.142,0.085596,-390.142,1.55722,-390.142,0.146274
-389.732,0.085762,-389.732,1.41169,-389.732,0.0533135
-389.322,0.175381,-389.322,1.14495,-389.322,-0.17221
-388.913,0.281674,-388.913,1.0642,-388.913,-0.184481
-388.503,0.217945,-388.503,1.08886,-388.503,-0.0715309
-388.093,0.0631771,-388.093,0.963849,-388.093,0.0278649
-387.683,-0.0856025,-387.683,0.707592,-387.683,0.190258
-387.273,-0.198523,-387.273,0.581098,-387.273,0.38569
-386.863,-0.129682,-386.863,0.625453,-386.863,0.423142
-386.453,0.145283,-386.453,0.682404,-386.453,0.210833
-386.044,0.481284,-386.044,0.607785,-386.044,-0.0178496
-385.634,0.658208,-385.634,0.383167,-385.634,-0.0126421
-385.224,0.737629,-385.224,0.22299,-385.224,0.123995
-384.814,0.764577,-384.814,0.135224,-384.814,0.125635
-384.404,0.516616,-384.404,-0.0182143,-384.404,0.0344377
-383.994,0.208756,-383.994,-0.0459634,-383.994,0.107329
-383.584,0.131864,-383.584,0.111684,-383.584,0.232119
-383.175,0.325063,-383.175,0.230678,-383.175,0.256371
-382.765,0.495722,-382.765,0.276677,-382.765,0.153688
-382.355,0.379594,-382.355,0.221241,-382.355,-0.0554797
-381.945,0.223441,-381.945,0.159251,-381.945,-0.165259
-381.535,0.154789,-381.535,0.153585,-381.535,-0.044649
-381.125,0.187563,-381.125,0.150808,-381.125,0.0711547
-380.715,0.24966,-380.715,0.0849821,-380.715,0.0302747
-380.306,0.301592,-380.306,0.0732293,-380.306,-0.0565781
-379.896,0.314828,-379.896,0.244834,-379.896,-0.0764786
-379.486,0.318004,-379.486,0.516999,-379.486,0.0512456
-379.076,0.280226,-379.076,0.689466,-379.076,0.265443
-378.666,0.236074,-378.666,0.648495,-378.666,0.38062
-378.256,0.219071,-378.256,0.511929,-378.256,0.458968
-377.846,0.234149,-377.846,0.382274,-377.846,0.581921
-377.437,0.398064,-377.437,0.310204,-377.437,0.571695
-377.027,0.634769,-377.027,0.350834,-377.027,0.366017
-376.617,0.746842,-376.617,0.50976,-376.617,0.144373
-376.207,0.769535,-376.207,0.705966,-376.207,0.0912508
-375.797,0.784858,-375.797,0.821423,-375.797,0.104354
-375.387,0.702782,-375.387,0.811362,-375.387,0.123152
-374.977,0.534697,-374.977,0.648201,-374.977,0.204004
-374.568,0.482134,-374.568,0.384118,-374.568,0.12452
-374.158,0.520178,-374.158,0.216027,-374.158,-0.0945239
-373.748,0.494283,-373.748,0.234692,-373.748,-0.207673
-373.338,0.35629,-373.338,0.355864,-373.338,-0.19783
-372.928,0.310678,-372.928,0.469157,-372.928,-0.120754
-372.518,0.469339,-372.518,0.556791,-372.518,-0.00479606
-372.108,0.664043,-372.108,0.596612,-372.108,0.0725081
-371.699,0.871114,-371.699,0.664232,-371.699,0.148874
-371.289,1.11364,-371.289,0.663784,-371.289,0.257668
-370.879,1.23786,-370.879,0.505217,-370.879,0.2798
-370.469,1.10272,-370.469,0.309864,-370.469,0.359726
-370.059,0.778013,-370.059,0.277707,-370.059,0.489621
-369.649,0.42092,-369.649,0.432886,-369.649,0.585489
-369.239,0.172422,-369.239,0.542049,-369.239,0.539373
-368.83,-0.00284819,-368.83,0.682569,-368.83,0.317362
-368.42,-0.227344,-368.42,0.999793,-368.42,0.185501
-368.01,-0.506194,-368.01,1.21081,-368.01,0.276387
-367.6,-0.560597,-367.6,1.14226,-367.6,0.435214
-367.19,-0.339814,-367.19,0.99531,-367.19,0.467043
-366.78,-0.0372491,-366.78,0.911475,-366.78,0.351308
-366.37,0.323532,-366.37,0.897837,-366.37,0.160107
-365.961,0.607921,-365.961,0.860915,-365.961,0.230386
-365.551,0.512494,-365.551,0.779685,-365.551,0.518446
-365.141,0.0290233,-365.141,0.604148,-365.141,0.749417
-364.731,-0.427149,-364.731,0.257548,-364.731,0.915199
-364.321,-0.554799,-364.321,0.0161702,-364.321,1.06462
-363.911,-0.419878,-363.911,0.0766933,-363.911,1.04854
-363.501,-0.150934,-363.501,0.239294,-363.501,0.817027
-363.092,0.0469304,-363.092,0.406422,-363.092,0.75716
-362.682,0.112212,-362.682,0.592975,-362.682,0.933422
-362.272,0.132894,-362.272,0.743938,-362.272,1.0387
-361.862,0.196184,-361.862,0.836917,-361.862,1.02905
-361.452,0.288192,-361.452,0.879033,-361.452,0.904927
-361.042,0.359317,-361.042,0.823147,-361.042,0.699022
-360.632,0.441767,-360.632,0.779785,-360.632,0.529048
-360.223,0.602856,-360.223,0.711303,-360.223,0.3798
-359.813,0.778309,-359.813,0.617127,-359.813,0.202221
-359.403,0.911028,-359.403,0.644585,-359.403,-0.0127618
-358.993,0.890523,-358.993,0.683672,-358.993,0.0610646
-358.583,0.659422,-358.583,0.52129,-358.583,0.34583
-358.173,0.411444,-358.173,0.229019,-358.173,0.378469
-357.763,0.279219,-357.763,0.00937023,-357.763,0.261354
-357.354,0.233368,-357.354,-0.139721,-357.354,0.275057
-356.944,0.160595,-356.944,-0.250353,-356.944,0.320055
-356.534,0.102518,-356.534,-0.290426,-356.534,0.18815
-356.124,0.0924971,-356.124,-0.263401,-356.124,0.0107994
-355.714,0.15907,-355.714,-0.158792,-355.714,-0.0304956
-355.304,0.270728,-355.304,0.0884885,-355.304,0.00398848
-354.894,0.49376,-354.894,0.481777,-354.894,0.129609
-354.485,0.724213,-354.485,0.826613,-354.485,0.322681
-354.075,0.741549,-354.075,1.00926,-354.075,0.435822
-353.665,0.568486,-353.665,1.12127,-353.665,0.568828
-353.255,0.402342,-353.255,1.13477,-353.255,0.77674
-352.845,0.421952,-352.845,1.24391,-352.845,0.908128
-352.435,0.536245,-352.435,1.44168,-352.435,1.05622
-352.025,0.693093,-352.025,1.60126,-352.025,1.19927
-351.616,0.825846,-351.616,1.62152,-351.616,1.27271
-351.206,0.932206,-351.206,1.37406,-351.206,1.23331
-350.796,1.01657,-350.796,1.02339,-350.796,1.12957
-350.386,1.01733,-350.386,0.865342,-350.386,1.00038
-349.976,0.982532,-349.976,0.752237,-349.976,0.799591
-349.566,0.961557,-349.566,0.503475,-349.566,0.675472
